costat,curcd,datafmt,indfmt,consol,gvkey,fyear,act,at,lct,lt,pstkrv,seq,dvt,ni,capx,csho,derhedgl,dt,mkvalt,prcc_f
A,USD,STD,INDL,C,001004,2013,1116.9000,2199.5000,402.1000,1198.8000,0.0000,999.5000,11.8000,72.9000,26.5000,39.5600,,634.0000,961.3080,24.300000000000
I,USD,STD,INDL,C,001019,2013,21.3850,35.8120,16.3670,28.2830,0.0000,7.5290,0.0000,1.6780,1.8260,0.1620,,7.5300,44.2665,273.250000000000
A,USD,STD,INDL,C,001045,2013,14323.0000,42278.0000,13806.0000,45009.0000,0.0000,-2731.0000,0.0000,-1834.0000,3114.0000,261.0690,,16799.0000,6591.9923,25.250000000000
A,USD,STD,INDL,C,001050,2013,124.7720,348.5360,59.3330,178.1300,0.0000,170.4060,4.3370,6.5570,1.3770,25.5870,,89.0820,413.2812,16.152000000000
A,USD,STD,FS,C,001062,2013,,252.1420,,1.7950,,250.3470,3.4720,,,,,,,12.780000000000
A,USD,STD,INDL,C,001062,2013,,252.1420,,1.7950,0.0000,250.3470,3.4720,-212.6730,,19.2900,,0.0000,,12.780000000000
I,USD,STD,INDL,C,001072,2013,1768.7230,2384.9880,161.9340,337.3030,0.0000,2047.6850,60.2510,127.0370,26.8050,168.2210,-3.4620,0.0000,2217.1528,13.180000000000
A,USD,STD,INDL,C,001075,2013,1043.6090,13508.6860,1618.6440,9168.2260,0.0000,4194.4700,244.9030,406.0740,1031.1830,110.1820,,,5830.8314,52.920000000000
A,USD,STD,INDL,C,001076,2013,,1827.1760,,687.2130,0.0000,1139.9630,5.4790,120.6660,58.1450,72.9570,,142.7040,2144.9358,29.400000000000
A,USD,STD,INDL,C,001078,2013,19247.0000,42953.0000,9507.0000,17686.0000,0.0000,25171.0000,1002.0000,2576.0000,1145.0000,1548.0980,88.0000,3397.0000,59338.5963,38.330000000000
A,USD,STD,INDL,C,001084,2013,0.3210,0.3280,4.3300,4.3300,0.0000,-4.0020,0.0000,-4.1280,0.0000,93.2100,0.3870,0.0000,13.9815,0.150000000000
I,USD,STD,INDL,C,001094,2013,218.3000,323.4300,89.9070,128.7900,0.0000,194.6400,6.0570,22.3280,1.0220,27.8310,-0.1600,32.0690,387.6858,13.930000000000
A,CAD,STD,INDL,C,001096,2013,198.8520,5452.9950,739.7960,2905.5560,0.0000,2329.9720,7.6120,286.3920,462.3230,12.5860,1.3350,2259.0900,1578.1585,125.390000000000
A,USD,STD,INDL,C,001097,2013,,77.6540,,44.3580,0.0000,33.2960,0.0000,0.9990,0.1160,1.0720,,7.2360,27.8760,24.000000000000
A,USD,STD,INDL,C,001104,2013,56.9860,68.0790,9.8760,33.0740,0.0000,35.0050,0.9860,4.0030,4.5920,3.2010,,22.9120,47.6949,14.900000000000
A,USD,STD,INDL,C,001117,2013,28.1200,34.0230,2.4560,2.6030,0.0000,31.4200,0.0000,1.1420,0.3380,13.5890,,0.0000,45.7949,3.370000000000
A,USD,STD,INDL,C,001119,2013,,,,,,,,,,92.2160,,,,13.070000000000
I,USD,STD,INDL,C,001121,2013,351.7300,448.0820,272.1690,293.3970,0.0000,154.6850,2.7830,21.6100,27.6020,4.2180,,0.0000,288.9330,68.500000000000
A,USD,STD,INDL,C,001161,2013,2884.0000,4337.0000,1618.0000,3793.0000,0.0000,544.0000,0.0000,-83.0000,84.0000,725.0000,-2.0000,2058.0000,2805.7500,3.870000000000
A,USD,STD,INDL,C,001166,2013,713.8070,2137.4660,139.9260,143.3020,0.0000,1994.1640,415.0350,1449.4030,23.5110,63.4680,,0.0000,2094.4440,33.000000000000
I,USD,STD,FS,C,001177,2013,9718.9000,49871.8000,12602.9000,35793.6000,,14025.5000,294.6000,,,,,,,68.590000000000
I,USD,STD,INDL,C,001177,2013,9718.9000,49871.8000,12602.9000,35793.6000,0.0000,14025.5000,294.6000,1913.6000,479.1000,362.2000,,8252.6000,,68.590000000000
A,USD,STD,INDL,C,001186,2013,804.8310,4959.3590,210.6540,1982.2100,0.0000,2977.1490,114.1180,-406.5260,577.7890,173.9540,1.5090,1023.8780,4588.9065,26.380000000000
A,USD,STD,INDL,C,001209,2013,3439.1000,17850.1000,3227.6000,10275.4000,0.0000,7042.1000,579.6000,994.2000,1524.2000,211.1790,26.8000,5563.7000,22505.3460,106.570000000000
A,USD,STD,INDL,C,001210,2013,31.1520,37.2210,9.0190,9.8610,0.0000,27.3600,0.7340,1.4670,1.2840,2.3550,,0.0000,28.4955,12.100000000000
A,USD,STD,INDL,C,001224,2013,183.7450,1198.0750,232.1630,813.4950,0.0000,384.5800,33.3220,57.3990,86.0370,1.9720,,,,
A,USD,STD,INDL,C,001225,2013,1691.0000,19251.0000,932.0000,13064.0000,685.0000,6187.0000,683.0000,751.0000,1107.0000,30.5380,,,,
I,USD,STD,INDL,C,001228,2013,2.7970,7.2170,0.2710,1.7930,0.0000,5.4240,0.0000,-0.6830,0.9620,4.9890,,0.0000,2.1952,0.440000000000
A,USD,STD,INDL,C,001230,2013,1762.0000,5838.0000,1580.0000,3809.0000,0.0000,2029.0000,28.0000,508.0000,566.0000,68.7460,,871.0000,5043.8940,73.370000000000
I,USD,STD,INDL,C,001234,2013,90.3190,172.0660,9.3640,23.0720,0.0000,148.9940,4.8500,26.5820,7.5030,1.9920,,0.0000,590.1300,296.250000000000
A,USD,STD,INDL,C,001254,2013,348.9000,1248.3000,200.6000,910.1000,0.0000,338.2000,26.8000,53.7000,35.2000,42.8000,,286.1000,1117.5080,26.110000000000
A,USD,STD,FS,C,001257,2013,,1457.7240,,1124.1430,,333.5810,56.1970,,,,,,,330.000000000000
A,USD,STD,INDL,C,001257,2013,,1457.7240,,1124.1430,0.0000,333.5810,56.1970,56.9150,0.0000,5.1060,,1049.9590,,330.000000000000
A,CAD,STD,INDL,C,001262,2013,303.2040,932.3540,68.8080,371.2680,0.0000,561.0860,10.5570,41.9230,43.7120,38.9120,2.5680,227.1280,645.9392,16.600000000000
A,CAD,STD,INDL,C,001263,2013,486.9000,1804.2000,1206.8000,2335.1000,0.0000,-530.9000,0.0000,-313.8000,29.7000,500.0100,0.0000,1263.5000,,
A,USD,STD,INDL,C,001266,2013,59.7950,198.8400,11.4910,56.1040,0.0000,142.7360,2.6260,19.6460,18.9240,7.3040,,36.0000,300.7057,41.170000000000
A,USD,STD,INDL,C,001272,2013,0.0000,0.0000,0.0090,0.0090,0.0000,-0.0090,0.0000,-0.0040,0.0000,2964.1820,,0.0000,0.2964,0.000100000000
I,USD,STD,FS,C,001274,2013,,23361.0880,,16413.5670,,6923.7570,0.0000,,,,,,,399.960000000000
I,USD,STD,INDL,C,001274,2013,,23361.0880,,16413.5670,0.0000,6923.7570,0.0000,628.4210,17.4270,16.7660,,1794.4070,,399.960000000000
A,USD,STD,INDL,C,001300,2013,21164.0000,45435.0000,14181.0000,27689.0000,0.0000,17467.0000,1329.0000,3924.0000,947.0000,783.8000,,7433.0000,71615.8060,91.370000000000
A,USD,STD,INDL,C,001327,2013,1073.3000,2333.1000,179.7000,232.0000,0.0000,2101.1000,0.0000,278.1000,123.8000,187.9000,,0.0000,4667.4360,24.840000000000
A,USD,STD,INDL,C,001352,2013,,,,,,,,,,3.4500,,,,26.550000000000
I,USD,STD,INDL,C,001356,2013,6969.0000,35742.0000,6105.0000,22220.0000,55.0000,10593.0000,132.0000,-2285.0000,1193.0000,1071.0110,29.0000,8262.0000,11384.8469,10.630000000000
I,USD,STD,INDL,C,001380,2013,8599.0000,42754.0000,6558.0000,17970.0000,0.0000,24720.0000,235.0000,5052.0000,5840.0000,325.3140,,5798.0000,27001.0620,83.000000000000
A,USD,STD,INDL,C,001388,2013,9201.0000,25612.0000,11919.0000,35272.0000,0.0000,-9660.0000,0.0000,-1526.0000,2968.0000,0.0010,,10809.0000,,
A,USD,STD,INDL,C,001393,2013,,5998.9780,,4471.6100,0.0000,1527.3680,19.5680,342.3910,999.3650,19.6080,,1942.3590,4551.4090,232.120000000000
A,USD,STD,INDL,C,001397,2013,69.1690,119.8750,31.7840,83.3110,0.0000,35.6200,0.0000,3.3560,2.4840,0.0320,,9.0090,13.1840,412.000000000000
A,USD,STD,FS,C,001414,2013,,10329.9500,,9107.9230,,1222.0270,25.0580,,,,,,,42.910000000000
I,USD,STD,INDL,C,001408,2013,2890.1000,8584.7000,706.6000,3510.6000,0.0000,5074.1000,145.7000,362.5000,128.5000,163.6350,0.9000,2024.5000,11136.9981,68.060000000000
A,USD,STD,INDL,C,001410,2013,864.6320,2119.2360,508.5240,1201.7290,0.0000,917.5070,32.8730,72.9000,32.5930,55.4780,,314.8700,1526.1998,27.510000000000
A,USD,STD,INDL,C,001414,2013,,10329.9500,,9107.9230,0.0000,1222.0270,25.0580,162.7250,23.8180,54.8340,,374.4810,,42.910000000000
A,USD,STD,INDL,C,001417,2013,,,,,,,,,,11.3770,,,,18.330000000000
I,USD,STD,INDL,C,001429,2013,407.2040,950.9850,351.4050,533.7770,38.2750,380.6270,26.3540,42.8180,74.1800,,,128.3600,,
I,USD,STD,INDL,C,001439,2013,122.5280,300.5560,37.1720,69.0180,0.0000,231.5380,9.9780,32.1510,21.3730,21.5190,,0.0000,798.3979,37.102000000000
A,USD,STD,INDL,C,001440,2013,4310.0000,56414.0000,6112.0000,40328.0000,0.0000,16085.0000,950.0000,1480.0000,3778.0000,487.7770,,,22798.6970,46.740000000000
I,USD,STD,INDL,C,001448,2013,,29926.0000,,27239.0000,0.0000,2687.0000,441.0000,446.0000,0.0000,1.5000,72.0000,21700.0000,,
A,USD,STD,FS,C,001447,2013,,153375.0000,,133879.0000,,19496.0000,967.0000,,,,,,96536.7200,90.730000000000
A,USD,STD,INDL,C,001447,2013,,153375.0000,,133879.0000,0.0000,19496.0000,967.0000,5359.0000,1078.0000,1064.0000,,55330.0000,96536.7200,90.730000000000
A,USD,STD,FS,C,001449,2013,,121307.0000,,106687.0000,,14620.0000,660.0000,,,,,,30688.7884,66.800000000000
A,USD,STD,INDL,C,001449,2013,,121307.0000,,106687.0000,0.0000,14620.0000,660.0000,3158.0000,0.0000,459.4130,,4897.0000,30688.7884,66.800000000000
A,USD,STD,FS,C,001487,2013,,541329.0000,,440218.0000,,100470.0000,294.0000,,,,,,,51.050000000000
A,USD,STD,INDL,C,001487,2013,,541329.0000,,440218.0000,0.0000,100470.0000,294.0000,9085.0000,0.0000,1464.0630,,41693.0000,,51.050000000000
I,USD,STD,INDL,C,001491,2013,276.5130,684.0710,267.2310,471.7650,0.0000,210.6870,0.0000,-21.4580,22.9540,5.0900,,243.1630,232.1549,45.610000000000
I,USD,STD,INDL,C,001496,2013,5.4150,8.9560,5.6460,8.0300,0.3000,0.9260,0.0050,-2.8210,0.9710,1.6870,,1.2340,3.2897,1.950000000000
A,USD,STD,INDL,C,001507,2013,,,,,,,,,,8.8000,,,,25.030000000000
I,USD,STD,INDL,C,001511,2013,0.0120,0.0120,0.0330,0.0510,0.0000,-0.0390,0.0000,-0.1100,0.0000,5.8480,,0.0180,0.5263,0.090000000000
I,USD,STD,FS,C,001526,2013,,23324.8830,,19121.5520,,4190.5740,82.8310,,,,,,3080.5533,114.540000000000
I,USD,STD,INDL,C,001526,2013,,23324.8830,,19121.5520,0.0000,4190.5740,82.8310,268.3720,25.5830,26.8950,,113.8490,3080.5533,114.540000000000
